Akuzipik	English	Proto-form	Under	Type
saaygu		ca90!u3		base
saayngiitaq		ca90&ilita3	ca90-	base
safleg-		cav@0!-	cav0t-	base
sagelmak		ca!0lmak		base
sagheve-		ca30v0		base
saghligaq		ca3li!a3		base
saghumik		ca3umi!		base
saghya		cua3$uk	cu(na)	base
sagiqe-		ca!iq0-		base
sagniin		ca!&i-		base
saguyaq		ca!uyaq		base
sakegh-		caki(t0)-		base
sakete-		cak0v0t-		base
saki		caki		base
sakiiq		caki3a3	caki	base
sakiighaq		caki3a3	caki	base
sakimak		caki(C)a!		base
sakniqe-		cak0(t)-		base
salin		cu(na)li	cu(na)	base
sallagte-		ca@i!-²		base
sallaqi-		ca@a-		base
sallek		ca@0k		base
salligte-		ca@i!-¹		base
sallegte-		ca@i!-¹		base
sallmak		ca@mak		base
sallmag-		ca@mak		base
sal&ak		sa&lak		base
salug-		calu!-		base
sanagte-		cana-		base
sanaghte-		cana3t0-		base
sangan		ca&an	cu(na)	base
sangigte-		cani3-		base
sangite-		cu(na)&it-		base
sangwaa		cu(na)		base
sangyagh-		ca&ya3-		base
sangyite-		ca&ya3-		base
saniani		cani-		base
saningughtaq		cani&u3taq	cani-	base
saniquun		canniqun	cani-	base
sanivagh-		caniva3-	cani-	base
sanqun		canqun		base
sapeghhnagh-		cap03na3-		base
sapeghhnaq		cap03na3-		base
saqeghqe-		caq0-²		base
saqeghte-		caq0-²		base
saqeme-		ca30v0-		base
saqfigh-		caqvi3-	caqvi!	base
saqighqe-		caq0-²		base
saqlak		caqla!		base
saqugneq		caqu-²		base
saquk		caqu-²		base
saqumig-		caqu-²		base
saquste-		caqu-¹		base
sata		cat0		base
satelgaq		tat0l!a3		base
savek		cav0!		base
saveg-		cav0!		base
savighqe(t)-		cavi3u3-	cavi!	base
savik		cavi!		base
savilquq		cavi!		base
saya		ca90-		base
sayug-		cayu!-		base
sayugh-		cayu3-		base
sayugpagtagh-		cayu!-		base
segesquq		ci!09qu3		base
segesqwaaq		ci!09qu(C)a3	ci!09qu3	base
seghe-		ci90!-		base
seghhe-		09i3		base
seghleq		ci3l03-		base
seghleghqe-		ci3l03-		base
sengelqagh		ci&0l0-		base
seve-		civ0-		base
sighla-		ci3la!		base
sighuneq		ci3un0q		base
sigiqe-		ci!i-		base
sii		0ci3		base
siifte-		civt0-		base
siigh-		0cu3it-	0cu3-	base
siigte-		0t0!(ta3)-		base
siimghu		ci9am3u	ci9a!-	base
siinge-		ci&0(t)-		base
siipneq		cip(0)n03	cip0(t)-	base
siipneqllukek		cip(0)n03	cip0(t)-	base
siipte-		cip0(t)-		base
sikete-		cik0(t)-		base
sikik		cik9i!		base
siklaq		cikla3		base
sikna(yug)-		cikna-		base
siku		ciku		base
sikuq		ciku3		base
sikwaavreghaq		ciku(C)a3	ciku	base
sikaaq		cika(C)aq		base
simigh-		cimmi3-		base
singagh-		ci&a3-		base
singik		ci&i!		base
singik		ci&ik		base
singiq		ci&i3		base
sipelaaq		civu3a3	sii6lu-X	base
sipelaaq		ci!u3a3		
sipegte-		cip0(!)-		base
sipsaq		cipya3		base
siqineq		ciqin03		base
siqite-		ciq(q)it-	ciq03-	base
siqlugaq		ciqlu!a3		base
siqni-		ciqni-		base
sivu		civu-		base
sivug-		civ(v)u!-		base
sivugh-		civvu3-		base
sivugnga-		civ(v)u!-		base
sivuliq		civul(l)i3	civu-	base
sivuneq		civun03	civu-	base
sivuqaq		civuqa3	civu-	base
sivuqliq		civuqli3	civu-	base
sivuughagh-		civu(C)u3a-		base
sivuyagta		civuya!t0		base
sivuyak		civuyak	civu	base
sivuyagta		civuyak	civu	base
sivaaq		civu(C)a3	civu-	base
suflu(q)		cuplu!		base
sufluk		cuplu!		base
sugag-		cu!a!-		base
sughug-		cu39u!-		base
sugruk		cu!9u!		base
sugrugeq		cu!9u!		base
sukangite-		cuk(k)a&it-	cuk(k)a-	base
sukate-		cuk(k)a-		base
sukite-		cukkit-	cuki(3)	base
sukitun		cukkit-	cuki(3)	base
suklugraq		cukluk		base
sullevneq		cu@0vn0q		base
suluk		culu!		base
sumeq		cum03(t0)-		base
suna		cu(na)		base
sunami		cu(na)		base
sungaghteqe-		cu&a3-		base
sungagyaak		cu&a!-	cu&a(3)	base
sungagyaak		cu&a3-	cu&a(3)	base
sungagyuk		cu&a!-	cu&a(3)	base
sungagyuk		cu&a3-	cu&a(3)	base
sungaq		cu&a(3)		base
sungite-		cu&it0-		base
supug-		cup0-		base
supuk		cup0-		base
supugh-		cupu3-	cup0-	base
suqaq		cuqqa3		base
suqlaq		cuqla!		base
suqlugh-		cuqlu3-		base
susuq		ciq03-		base
suugh-		0cu3-		base
suughaq		cu3aq		base
suughite-		0cu3it-	0cu3-	base
suume-		cumi!-		base
suupe-		cup0-		base
taagken		ta!wak0n	ta9va	base
taake-		tak0-		base
taane-		tan0!-		base
taapak		tuvapa!		base
taape-		tap0t-²		base
taapute-		tap0t-²		base
taaqe-		taq0-		base
taatget		tat0k0	tat0	base
taawa		ta9va		base
taayug(yug)-		tayu(!)-		base
taflu		pavlu		base
tafsi		tavci		base
taghneghaq		ta3(a)n0q		base
taghnughhaq		tan!u3aq		base
taghpagh-		ta3pa3-		base
taghu		ta3u		base
taghyuq		ta3(0)yu3		base
tagi-		ta!i-		base
tagitugiiq		ta!itu!i(C)aq	ta!0tu!	base
tagituk		ta!0tu!		base
taglagh-		ta!0-		base
tagneq		ta303n03	ta303(-)	base
tagnegh-		ta303n03	ta303(-)	base
tagsigh-		ta!ci3-	ta!0-	base
tagtala		tak0-		base
takagh-		taka3-¹		base
takagh(yug)-		taka3-²		base
takelli-		tak0li-		base
takerkak		tak5u(k)		base
taklagh-		takla3-		base
taku-		taku-		base
talaghitagh-		talaa30		base
talite-		talit-	talu(-)	base
tallaagh-		talu3-		base
tallighpik		ta@i3pi!	ta@i3	base
tallimat		ta@@imat		base
talliq		ta@i3		base
talliquq		ta@iqu3		base
tallu-		talu3-		base
tallugh(yug)-		ta@u3-		base
talughte-		talu3t0-		base
tamaa-		tamu3-		base
tamaghhagh-		tama3-		base
tamangani		tama&ani	tama3-	base
tamlag-		talma!-		base
tamlu		tamlu		base
tamlughun		tamlu3un	tamlu	base
tanem		tan0m		base
tangeq	reason behind	ta&03-		base
tangeq	part of blubber	ta&03		base
tangtaquq		natanqu3		base
tangyeq		taya3n03		base
tannga		tan0!		base
tanpeq		ta&p0q		base
tanqiq		tanqi3		base
tapghaq		tap3a3²		base
tapghaq		tap3a3¹		base
taqeq		taqa3		base
taqiiq		taaqaq		base
taquq		taquq		base
taqughte-		taquq		base
tasik		taci-		base
tasiq		taci-		base
taslugh-		tatyu3-		base
tatame-		tatam0(t)-		base
tateghte-		tat0-		base
tatek		tat0k		base
tawaten		ta!wat0n	ta9va	base
tawatete-		ta!wat0n	ta9va	base
tefaay		t0vvu!-		base
tefli		t0pli		base
tegak		t0!!a!		base
teggeq		t0!0!-		base
teghigaq		t03i!a3	t03i!	base
teghiglugsiq		t03i!lu!ciq	t03i!	base
teghigluk		t03i!lu!		base
teghigniigh-		t03i!		base
teghiigh-		t03i(C)a3-	t03i!	base
teghik		t03i!		base
teghikusaq		t03ik5uq-	t03i!	base
teghlug-		tula!-		base
teghtugh-		0t03-		base
taghtugh-		0t03-		base
tegleg-		t0!l0!-		base
teglengalghii		t0!l0&a3-	t0!l0!-	base
tekagh-		t0(!)ka3-	t0!0!-	base
tekeghaq		t0k03a3	t0k03	base
tekeq		t0k03		base
tekerquq		t0k09qu3		base
tekeyiighaq		t0kiyaq		base
teki(i)te-		t0kit-		base
tema		t0m0		base
temkaq		t0mkaq		base
temli-		0t0mli-	0t03-	base
temsiyaaghagh-		t0mci-		base
tenga		t0&0		base
tengayuk		t0&ayu!	t0&0	base
tenge-		t0&0-		base
tengghu(yug)-		t0&3u-		base
tenglug-		t0&lu!(-)		base
tengqall		ukt0&qa(3)-		base
tengte-		t0&0t-		base
tenguk		t0&u!		base
tenguqe-		t0&uq0-		base
tepa		t0p0		base
tepaq		t0p9a3	t0p0-	base
tepe-		t0p0-		base
teq		0t03		base
tequq		0t0qu3	0t03	base
terateriiq		t09at09a(C)i3		base
teregh-		t0t03-		base
teve-		0t0v0(t)-		base
tevigh-		t0vi3-		base
tevyaghaq		0t0vya3a3	0t0v0(t)-	base
tiig-		ta90!-		base
tungeqliq		tu& (0)li3	tu&0-	base
tugegh-		tu!03-		base
tugagh-		tu!03-		base
tugeq		tu!03	tu!03-	base
tughneghaq		tu!0n3a3		base
tugmagte-		tu&va3-		base
tugu-		t0!u-		base
tugumiiq		t0!umi(C)a3		base
tugun		t0!!un		base
tugutaq		t0!!un		base
tukaate-		tuka(3)-		base
tukagh-		tukka3-		base
tukegh-		tuk03-		base
tukfigh-		tukvi3-		base
tukughaq		tuku(q)		base
tukughnak		tuku3naq		base
tukuq		tukku(3)		base
tukuqe-		tukku(3)		base
tulimaq		tulima3		base
tulughyak		tulu3ya3	tulu3-	base
tuma		tum0		base
tumag-		tuma!-		base
tumagh-		tum9a3-	tum0	base
tunak		0t0ma!		base
tuneq		tu&03		base
tunga		tu&0-		base
tunglet		tu&l0(3)		base
tungsigh-		tu&ci3-		base
tungtu		tuntu		base
tungtut		tuntu39u!	tuntu	base
tungtuvak		tuntuva!	tuntu	base
tungu-		cu&u-		base
tungyuq		tu&yuq		base
tunu		tunu		base
tunuq		tunnu3		base
tunughaq		tunnu3		base
tunusuk		tunucu!	tunu	base
tunute-		tunut-	tunu	base
tunuvagh-		tunuva3-	tunu	base
tupag-		tupa!-		base
tupagpag-		tupa!-		base
tupeq		tup03		base
tuqlugh-		tuqlu3(a3)-	tuqlu(!)	base
tuqlughagh-		tuqlu3(a3)-	tuqlu(!)	base
tuqu-		tuqu(-)		base
tuqunagh-		tuquna3-	tuqu(-)	base
tuqute-		tuqut-	tuqu(-)	base
turiik		tu9i!		base
tusaqe-		tuca3-		base
tusaqneghllug-		tuca3-		base
tusiigate-		tutya!at-		base
tuteg-		tut0!-		base
tutemqaq		tutm0qa3	tut0-	base
tutmagh-		tutma3-	tut0-	base
tuufte-		tup0t-		base
tuugkaq		tu!0ka3		base
tuughqaq		tu!0ka3		base
tuugte-		tu!0t-		base
tuune-		tun0-		base
tuungliq		tu&(0)li3	tu&0-	base
tuusaq		tutya3(a3)	tut0-	base
tuuslagh-		tucila3-		base
tuuslite-		tucila3-		base
tuutaq		tu(C)uta3		base
tuute-		tut-		base
tuute-		tut0-		base
tuvaq		tuva3		base
tuvghaq		tuv03a3		base
tuya		tuy0		base
tuyugh-		tuyu3-		base
ufsug-		0vcu!-		base
ugate-		u!an		base
ugharra		u33a3		base
ughhe-		qu30-		base
ughhmaataq		qu3(03)ma3-	qu30-	base
ughleveq		u3l0v0q		base
ughluveq		u3luv03		base
ughnek		u3n0!-		base
ughu		u39u3		base
ughug-		u3u!-	u30-	base
ughvik		u3vik		base
ughvughqe-		03vuqa3-	030-¹	base
ughvugh-		03vuqa3-	030-¹	base
ughyugh-		u3yu3-		base
ugi		u!i		base
ugighhe-		u!i3(a3)-		base
ugingwaaq		u!i&(&)u9a3	u!i	base
ugini-		u!i3anni-		base
u!iyulek		u!iyu!	u!i	base
ugka		u!uk0	u!u-	base
ugkelli-		u!ukli-	u!u-	base
uglagh-		u!la3-		base
uglaq		u!la3-		base
ugpegh-		ukv03-		base
ugpeqe-		ukv0q0-	ukv03-	base
ugu-		u!u-		base
ugugnaghaq		u!9u!na3	u!9u!	base
ugumi(yug)-		u!umi-		base
uguminaghhalek		u!umi-		base
uguqe-		u!uq0-	u!u-	base
uguqnagh-		u!uqna3-	u!u-	base
ugute-		u!ut-	u!u-	base
ukaaq		uku(C)a3		base
ukaliq		ukaliq		base
ukamagh-		ukama3-		base
ukaziq		ukadi3		base
uki-		uki-²		base
ukite-		ukit-	uki-²	base
uksaaq		ukyu3a3		base
uksuq		ukyu3		base
ukughhaq		uku(C)a3aq	uku(C)a3	base
ulaagh-		ulu3-		base
ulaaq		ulu(3)		base
ulakitaagh-		ulakitaa3-		base
ulakitaaq		ulakitaa3-		base
ulape-		ulap0(t)-		base
uleve-		ul0(-)		base
ulghaaq		ul3u(C)aq		base
ulik		uli!(-)		base
ulig-		uli!(-)		base
ulima-		ulima-		base
ullegh-		u@03-		base
ullungak		u@u!a!		base
ulmig-		ul0t-		base
ulpeg-		ulp0!-¹	ul0t-	base
ulpegte-		ulp0!-²		base
ulpig-		ulp0!-²		base
ulu		ulu(q)		base
ulug-		ulu!-		base
umeg-		um0!-		base
umkughaq		umku3a3		base
umu-		um9u-		base
umyugaq		umyu!$aq		base
umyugiite-		umyu!a3it0-	umyu!zaq	base
unaami		unnu(C)a3	unnu!	base
unaaq		unnu(C)a3	unnu!	base
unaaqu		unnu(C)aqu	unnu!	base
unaghsiq		una3ci3		base
unake-		unak0-	una-¹	base
unange-		una&0-	una-¹	base
unatagh-		unata3-		base
unaymigh-		una9mi-		base
unegte-		un0!-		base
uneq		un03		base
ungagaq		u&a!$aq	u&ak	base
ungagigh-		u&a!i3-	u&ak	base
ungak		u&ak		base
ungavik		u&an		base
ungelegte-		u&ul0!-		base
ungilag-		u&ila!-		base
ungipaghaq		univka3a3		base
ungipaq		univka3a3		base
unglegh-		u&lu		base
unglleg-		u&03-		base
unglun		u&lu		base
ungughte-		u&u3-		base
unguva-		u&uma-		base
unguvagh-		u&umma3-	u&uma-	base
uniigh-		una(C)i3-		base
unite-		unit-		base
unuk		unnu!		base
unug-		unnu!		base
unungsaan		unu!ca3un		base
upag-		upa!-		base
upenghaq		up0n(0)3a3		base
upugh-		up0t-		base
upugha-		upu3a-	up0t-	base
upughat-		upu3a-	up0t-	base
uqengelli-		uqi!itli-	uqi!it-	base
uqengestaaq		uqi!it-		base
uqeq		uq03		base
uqigite-		uqi!it-		base
uqfik		uqvi!		base
uqigite-		uqi&it-		base
uqigtu-		uqi&it-		base
uqiite-		uqqit-	uq03	base
uqik		uqi&it-		base
uqligh-		uqli3-		base
uqliite-		uqli3-		base
uqlughte-		qu3lu3-		base
uqughte-		uq9u3-	uq9u3	base
uquk		uqu!		base
uqumyak		uqumya!	uq9u3	base
uquq		uq9u3		base
usi		uci¹		base
usingigh-		uci&i3-	uci¹	base
uskaaq		uyukku3(a3)		base
uskughaq		uyukku3(a3)		base
uspeqe-		usp03-	u90!-	base
uspete-		usp03-	u90!-	base
usuk		ucu!		base
usuqe-		ucukcaq		base
utaqa-		utaq0-		base
uteghnigh-		ut03ni3-	ut03-	base
uteghte-		ut03-		base
utqiigh-		ut0qi(C)a3-	ut03-	base
utumek		ut0vak		base
utuqa		utuqqa3		base
uughhe-		u30-		base
uughhe-		u3a3-		base
uughqa		uq03		base
uugta		u!taq	u!0t-	base
uugte-		u!0t-		base
uukaq		u9uka3		base
uulmen		ut0tmun	ut03-	base
uulqiq		ulqi3		base
uulte-		ul0t-		base
uunghaq		un03a3		base
uupa		uupa(q)		base
uupte-		up0t-		base
uusneq		uyt0-		base
uusneq		usn0q	uyt0-	base
uusqaq		0t0-		base
uuyni		un03		base
uvaghaa-		uva(C)a-	uv03-	base
uvegh-		uv03-		base
uvelegtagh-		0v0(3)l0!-		base
uveluk		i&(0)yul0!		base
uvinek		uvin0!		base
uyamik		uyami!	uya(qu3)	base
uyangte-		uya!-		base
uyaquq		uya(qu3)		base
uyatu-		uyatu-		base
uyavaq		uyava3-		base
uyavagh-		uyava3-		base
uyegte-		uy0!-		base
uyengpalla-		uyu&0-		base
uyengqagh-		uyu&0-		base
uyghak		uya3a!		base
uyghu		uyu3u(!)		base
uygu-		uy!u-		base
uyiighaq		uya(C)aq		base
uyiiq		uya(C)aq		base
uyug-		uyu!-		base
uyughaq		uyu3aq		base
uyvala-		uyvala-		base
uyviineq		uyvi&it-	uyvi	base
uziva		uyivva3	uyiv0-	base
uzive-		uyiv0-		base
vegaaq		0v0!		base
veghte-		uv03-		base
vegtaaq		0v0!ta3	0v0!	base
vek		0v0!		base
vuu-		i&(0)yu-		base
vuuneq		i&(0)yu-		base
vuveltu		puv0ltu		base
wayagh-		ivaya3-	iva3-	base
wayaq		ivaya3-	iva3-	base
yaag-		ya!(0)-		base
yaagneq		iya!n03	iya!-	base
yaagtagh-		iya!-		base
yaave-		yav0-		base
yaavuquun		yavun	yav0-	base
yakugh(yug)-		i&a!-		base
yakughte-		i&a!-		base
yaqellengataq		caq0l0kita3		base
yaqii-		iyaqqi-	iya!-	base
yaquq		iyaqu3	iya!-	base
yaqulek		iyaqu3	iya!-	base
yiillgi-		i&ut-²		base
yimi(yug)-		i&&imi(yu!)-	i&u!	base
yite-		i&ut-²		base
yu(u)k		i&u!		base
yuggtagh-		yu!t0-	i&u!	base
yughagh-		yu3a3-		base
yughaghta		yu3a3-		base
yuginaq		i&u!inna3	i&u!	base
yugniite-		i&u!ni3-	i&u!	base
yugtagh-		yu!t0-	i&u!	base
yuguma-		i&u!u-	i&u!	base
yugusiq		i&u!uci3	i&u!	base
yugyag-		i&u!ya!-	i&u!	base
yukuta		iyukuta(3)		base
yukutate-		iyukuta(3)		base
yumi(yug)-		i&&imi(yu!)-	i&u!	base
yupik		i&upi!	i&u!	base
yuqeghte-		yuqa3-	iyyu3-	base
yuungaaghaq		iyu&&a3		base
yuutu-		yu!tu-	i&u!	base
yuvghiigh-		iyuv3i3-		base
aatagh-		3ata3		post
aghtagh-		a3		post
aatagh-		3ata3		post
aghtagh-		a3		post
aghte-		a3a3t0		post
aghtugh-		a3		post
aghaatagh-	keep -ing	3ata3		post
angyali		li¹		post
angyi		li¹		post
aq		9a3		post
(g)aqe-		9a3		post
fik		9vi!		post
fqa(gh)-		vqa3		post
gh-		(V)3		post
ghaq		3a3		post
ghhaq		3a3a3		post
ghllag		3@a!		post
ghllagu-		3@a!		post
ghllak		3@a!		post
ghngaa(gh)-		&3a(a)3		post
ghpak		va!( )		post
ghqe-	apply - to	3q0		post
ghqe	divide into - groups	q0		post
ghqu-		qu		post
gku-		qu		post
gpe-		v0(k0)		post
i-	half-trans.	9i		post
(gh)i-	become	li²		post
(ng)igh-		&i3		post
(ng)ighute-		&i3ut0		post
ii-		li¹		post
iiraagh-		&u9a3a3		post
(ng)iitaq		&ilita3		post
(ng)inagh-		&inna3( )		post
(ng)inaq		&inna3( )		post
(ng)isag-		&ica!		post
(ng)ite-		&it		post
kaghaq		ka3aq		post
kaghqaq		k9a3		post
kaghtaq		ta3		post
kanigh-		kkanni3		post
kaq	raw material for	k9a3		post
kaq	past part.	k5aq		post
katagh(agh-)		k(k)atta3		post
kayuk		kayu!( )		post
kayugu		kayu!( )		post
ke-	s.th. one is -ing	k0( )²		post
ke-	have as	k0¹		post
keghtaq		ta3		post
kegtaq		k0!taq		post
kegte-		ki!		post
keq		kna3		post
kestagh-		k0cit0		post
ketagh-		k(k)0ta3		post
krak		k5ak		post
ksagute-		kya!ut0		post
kun		ku		post
kusiigh-		k0cit0		post
kwaaq		k(k)u3		post
laaq		la(C)a3( )		post
laataq		la(3)		post
laataqu-		l(l)u(C)a3		post
leg		l0!		post
lek		l0!		post
lghii-		l3i(C)aq		post
lghutaq		l!hutaq		post
lgigh-		l!i3		post
lgu		l!u		post
lgun		l!un		post
lqusiq		lquciq		post
li-	make	li¹		post
li-	become	li²		post
ligh-		li3		post
lighneq		li3n0q		post
liiq		li(C)u3		post
liite		li(C)ut0		post
linghaq		lin3aq		post
liq		l(l)i3		post
liqe-		liq0		post
llaag		3@a!		post
llaak		3@a!		post
llegagh-		3@a!		post
lleghpigaq		@03²		post
llek		@(0)!u		post
lleq		@03¹		post
llgu-		@(0)!u		post
lli-		@i		post
llu-		@u		post
lluggaq		@u!( )		post
lluk		@u!( )		post
lqusiq		k(k)uci3		post
lugh-		lu3		post
lugpigaq		lu!pi!aq		post
luq		lu(3)		post
(u)ma-		(u)ma		post
magh-		ma3		post
man		(u)ma3(a3)		post
me		m0(t)		post
mete-		m0t0		post
mi-		mi		post
mig-		mi!		post
mii-		mi3u		post
miiq		mi!		post
miqe-		miq0		post
mleghagh-		vla!		post
mlaagh-		vla!		post
mlaaq		vla!		post
mraaq		v$03a3		post
mzaaq		v$03a3		post
mreghaq		v$03a3		post
mzeghaq		v$03a3		post
msiigh-		mcu!( )		post
msiiq		mcu!( )		post
msug-		mcu!( )		post
msuggiite-		mcu!( )		post
(u)n		un		post
na-		na		post
nagh-		na3		post
nanigh-		n3i3		post
naq		na3		post
naqe-		naq0		post
nasiigh-		naci(C)a3		post
nayagh-		ya3		post
neghlluk		n03@u!		post
neghsigh-		c(c)i3		post
neq	activity or state of -ing	n03¹		post
neq	one more or most (of them	n03²		post
nga-		&a¹		post
ngagh-		&a3²		post
ngam		(&)am		post
nge-		n0!		post
nghhaq		n(0)3a3(a3)( )		post
nghite-		n3it		post
ngllagh-		&ca3		post
ngsi-		&si		post
nguq		&u(C)u3		post
nguq		&uq		post
ni-	say that -	ni		post
ni-	smell of	nit		post
niiq		ni(C)a3		post
niq		n(n)i3		post
nite-		nit		post
nkuk		nku!		post
nqegte-		nqi!¹		post
nqegtaq		nqi!¹		post
nqigte-		nqi!²		post
naagh-		na(C)u3		post
naanghite		na(C)u3		post
pagnite-		nit		post
peraq		vla!		post
peruk		yu!		post
pig-		pi!(-)		post
pik		pi!(-)		post
pigaq		pi!(-)		post
qaa-		q(q)a(a)		post
qagh-		k(k)a3		post
qaq		qa3		post
qiinagh-		qa(C)ina3		post
qite-		@it		post
qsug-		qyu!-		post
qugh-		q9u3		post
quq		qu3		post
qutaq		q(q)un		post
raaq		$a3aq		post
raghaq		$a3aq		post
ragkiigh-		$a!		post
rakegte-		$a!		post
rakguuq		$a!		post
regaq		$a!aq		post
rragh-		$a3aq		post
rruuk		9u!a3( )		post
rraak		9u!a3( )		post
rugllak		9u!		post
sagh-	cause to	ca3¹		post
sagh-	in vain, but...	ya3		post
sagh-	go in order to	ya3(tu3)-		post
saghagh-	try to induce to	ca3¹		post
saghagh-	early	ya3a3		post
saghtuq		ca3²		post
si-		ci		post
sigh-		c(c)i3		post
sighwaagh-		ci3u(C)a3		post
siiq		tya!		post
(u)siq		uci3		post
(te)snanigh-		n3i3-		post
sqe-		9q0		post
squq		lqu(C)aq		post
squghhaq		lqu(C)aq		post
staaq		ta3aq		post
staghhaaq		ta3aq		post
staghhiinaq		&inna3( )		post
sugh-		ci(C)u3		post
sugnite-		nit		post
saag-		tya!		post
(s)ta-		090		post
(u)ta(q)		un		post
tagh-	do by nature	t(t)a3		post
tagh-	fetch or gather	ta3		post
tala-		t0l0		post
taq		ta3		post
te	area in such a direction	t0		post
te-	cause to	t¹		post
te-	catch, go to, obtain	t²		post
(u)te-	do for	ut0		post
teste-		t0t		post
tghute-		t3ut0		post
(u)tke-		ut0k0		post
tmiighte		tmi(C)a3t0		post
tu-	have much or a big	tu¹		post
tu-	habitually	tu²		post
tugh-	keep on -ing	tu3²		post
tugh-	use or consume	tu3¹		post
tuq		tu3		post
tuqaq		tuqaq¹		post
tutka-		t0k0		post
tuuma(q)		tu(C)uma		post
(ng)u-		&it		post
(g/t)uq		9u3		post
ugh-		(C)u3		post
(ng)ughte-		&(&)u3		post
vageleg-		va!0l0!		post
vagh-		va3		post
valluq		va@u!( )		post
vgagh-		vla!		post
vik		9vi!		post
vike-		9vik0		post
vleghagh-		vla!		post
vlaagh-		vla!		post
vraagh-		v$03a3		post
vzaagh-		v$03a3		post
vreghagh-		v$03a3		post
vzeghagh-		v$03a3		post
vzigh-		v$03a3		post
vziigh-		mcu!( )		post
(ng)waagh-		&(&)u9a3( )		post
yaag-		tya!		post
yaaghte-		ya		post
yag-		ya!		post
yaget		ya!		post
yagh-	in vain, but...	ya3		post
yagh-	go in order to	ya3(tu3)-		post
yaghagh-		ya3a3-		post
yaghpete-		ya3		post
yaghqaq		ya3ka(C)u		post
yaghqaa-		ya3ka(C)u-		post
yaghtugh-		ya3(tu3)-		post
yagute-		yya!		post
yaqu(nang)		yaqu(na!)		post
yayiiqa		yayiaq(a)		post
yiite-		yu(C)it		post
yu		yu		post
yug-		yu!-		post
yugnagh-		yuna3		post
yugniite-		yuna3		post
yuguma-		yu!uma		post
yuk		yu!		post
yukagh-		yuka3		post
yuq		yu(u)q		post